Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Logistic Regression,0.7876235177865613,0.9190955568939334,0.7876235177865613,0.8388017978546193,0.9564467673982654
Random Forest,0.9341403162055336,0.9232182261630656,0.9341403162055336,0.9221450969239253,0.9892700203407695
XGBoost,0.9528162055335968,0.9457058501405986,0.9528162055335968,0.9341884028204426,0.9961274921887736
Balanced XGBoost,0.8857213438735178,0.9624558820205552,0.8857213438735178,0.9128521025578544,0.9944470073117067
