Model,RMSE,MAE,R2,MAPE
Linear Regression,4024.9885824926437,2906.947016179571,0.7255841743913318,191.0329682849781
Random Forest,924.8593152485934,211.53503716279644,0.9855112406734221,5.40861532112095
XGBoost,770.3264269718737,264.4206150052444,0.9899485332052564,10.396039225202358
